,Rating,Title,Review,Review_Date
0,1.0,"Disappointed with Oneplus, but more so with Amazon","I have been Oneplus user now for last 7 years and couldn't look beyond Oneplus brand even for my new phone. I used a Nokia feature phone for 15 days, after my Oneplus 7 broke into two pieces, to get my hands on Oneplus 10R. My first impression of the phone was that it felt quite bulky and heavy compared to other phones. The first one hour of phone usage was normal until I inserted the sim cards. Three major issues faced were:1. The network connectivity kept on flickering every 2nd second (That's how bad it is..!)2. The screen turns off in the middle of usage of phones (Typing, watching videos, surfing etc.) Looked like a buggy software to me.3. The phone took 1.5-2 hours to charge (80 watt model) as compared to their claims of a full charge in ~35 minutes..!I hoped that the update to 12.1 Oxygen OS will fix this, but it did solve neither of the problems.But major disappointment was from Amazon. I requested for a replacement after downloading the app and the app submitting the performance issues to Amazon. The Amazon representative raised the replacement request and the new phone was supposed to be delivered next day and they didn't. I had to travel to another city and this just made it more difficult. On the 3rd day, after multiple follow ups, another person from Amazon comes to check the phone and tells me that the replacement will be delivered same day in the evening. And guess what? Amazon cancelled the replacement itself. After complaints on twitter and their supervisors etc, they informed that I will be refunded the entire amount for the phone. 2 days to this and I'm still waiting for the phone to get picked up (and of course refund.!) In this entire 3 days process, Amazon team has lied on face regarding the cancelled replacement in chats as well as on Twitter...!Since I did not have any smart phone in the interim (and life without it is quite tough), I went to the service center who informed me that the software may not have been installed correctly in the beginning. They corrected it and it seems to be working ok so far for first 2 issues mentioned above but not the battery issue. They also have informed that if the issues persist, you can get the phone replaced from Oneplus.I still prefer this phone to be returned to Amazon and refunded fully.Update 1 (June 10) - After a month long fight with amazon to pick up my phone from the different city, I finally had to self return it. (Since they screwed up multiple times by not picking the phone up, they asked me to self return and refunded fully.)Update 2 (June 12) - I wanted a premium phone with latest processor under 40k and did not find good options in any other brand. (Do not trust the Xiomi and Realme of the world to give ad-free experience and clutter-free software, Samsung & Apple out of budget). So I again ordered a new Oneplus 10R. This time, it seems to be running smoothly. Black looks much better and feels more premium than green.",11 May 2022
1,1.0,The worst One Plus phone ever,"The worst phone from One Plus. Not recommended. Cheap Look and Design. Slow performance. Not worth for 39K. If you are exchanging any of your older phone, for sure you are going to miss your golden phone for a Bakwas phone. Try not to buy this phone.",10 May 2022
2,5.0,Good Budget Flagship,Nice PhonePros+Flat Display+Nice chipset+Battery and fast charging+DesignCons-average camera-slightly expensive,10 May 2022
3,1.0,ONEPLUS HAS LOST ITS ORIGINALITY,"One of the worst phone of OnePlus. It's more of Oppo stuff...The body is made of cheap plastic and for 40k range there is no X Factor. Addition to this, when i rcvd the phone the SIMs are not getting detected. On checking the IMEI number, it is reflecting as Null (screenshot attached)...This is a manufacturing defect that the device is not having an IMEI number. Total Chinese material. Coming to the battery..the phone gets fully charged in about 30 mins with 80 watt charger but the charger itself gets heat up like anything and after full charge also the battery supports for about 5-7 hrs only...With moderate use you have to charge the device minimum 2-3 times. Moreover, once i initiated the replacement for the same the procedure is cumbersome. First their technician will come and check the phone and after his approval the device will be returned and then the replacement will be initiated. It means I've to wait for another 7-10 days for this plastic box. There is no procedure to return the device with manufacturing defect...it can only be replaced. Total waste of money...avoid OnePlus and go for other brands providing same features and specs at 60% of the OnePlus rates. OnePlus devices henceforth are just rebranding of the other counterparts in the market. Don't buy this phone.. you'll regret it.",10 May 2022
4,1.0,Packing was blade cut by FE or related staff box was open it seems trying to theft the mobile,The media could not be loaded.,11 May 2022
5,1.0,Avoid avoid avoid,I used the one plus 5 for five years and have bought this one week back please avoid this phone at all costs very slow and not worth the price I am trying very hard to replace it in the one week Amazon window the technician came today agreed that there is a fault but wrote no fault in his report,12 May 2022
6,4.0,Good but not the best,Pros:-awesome display-good battery backup-takes 35 mins from 0 to 100% with 80W charger-good camera. Sample attached. Although expected better quality from oneplus. Hope camera will be optimised with future updates.-good performanceCons:-device does not look premium. but looks good if you use with case.-I have upgraded my oneplus 6T (OxygenOS 11.1 on android 11). But not happy with the the OS. Automatic call recording is missing. Oneplus needs to enhance OS for better user experience.I did not use alert slider much. So I don't have any issue with this.I donot play games much. So no heating issue with normal usage.Overall good but not the best. Hope oneplus will fix the camera and OS experience with its future updates.,11 May 2022
7,4.0,"Charging is Whoop, Light Weight, Configuration is great",The media could not be loaded.,18 May 2022
8,1.0,Worst camera quality - Adding additional makeup while taking photo.,Worst camera quality - Adding additional makeup while taking photo.  Also doing left and right swipe is not that much smooth compare to iphone  or SamsungWorst camera  looking for return if someone wants to purchse take from me,12 May 2022
9,2.0,I am a OnePlus fan but didn't like this phone,"I am a OnePlus fan & a very long time OnePlus phones user. But I didn't like this phone at all. UI & UX are not as good as older OnePlus phones. Some of the key features of OnePlus are missing too. Touch is slower. Changing & battery life are not as good as claimed. Overall, I do not feel that it is worth the price.",12 May 2022
10,5.0,Decent phone in this price range,Nice phone just bit bigger in size which I don't like..rest all is perfect.,10 May 2022
11,4.0,Overall a good phone.,"The media could not be loaded.
                



 Performance is superb, battery backup is also good. Charging is superfast. Awsome display.  Not tried different shots on camera but with the few clicks that I took it looks good.",10 May 2022
12,5.0,"A ""different"" OnePlus","Bought this phone in the inaugural sale. Been using it for 2 days now.Pros:1. Processor is great. Dimensity 8100 MAX works better than the Snapdragon 888 imo.2. Camera is very good, but nothing that you cannot find in phones in the range 25-30k3. Display is premium4. Design is different and very good according to me, but depends on personal taste.Cons:1. 5000 mAH battery but drains quickly although charging is pretty quick even with the 80W charger.2. No glass back, which would have made the phone look premium.3. No alert sliderThere were some issues that I saw in unboxing videos regarding refresh rate on apps like Instagram, but these have been fixed with an update already.Direct competitor of the Realme GT Neo 3, but I wanted a taste of OnePlus. In essence both phones are identical.",11 May 2022
13,1.0,Not a flagship level phone at this price range.,Front camera is not working well in low light and pictures got blurry in video call. Totally a bad product in terms of performance too.I didn't expect that from one plus.,13 May 2022
14,1.0,Not a premium phone,I am moving from OnePlus 5to this after 5yrs. And I am not even sure that it will survive for 2yrs.. poor camera selfie is too much whitesh.  No control on colour in main camera. Throwing every garbage pic..Plastic all around. On screen fingerprint is prone to error if screen get toomuch dust hand print. Feel cheated when I seen oppo and realme name tag internal system.Charging fast but discharge is also fast. Charger charge in 20 min but too bulky to carry around. Keeping OnePlus5 charge,15 May 2022
15,2.0,Not good as thought,Oneplus is losing its touch and need to leave oppo.Its over heating like hell andNo side silent buttonBattery wont stand long,11 May 2022
16,5.0,Good,"The media could not be loaded.
                



 Nice",10 May 2022
17,3.0,Average Buy....,I have been using this phone for about 5-6days now. It falls under good category. I say it is average. But not a flagship phone though!!Cons:Video- Slow motion mode has an issue. It flickers while using. Is it an issue with my phone or this an issue with one plus 10r am not sure... Camera is ok I would say. Not upto the expectations though it is 50megapixel.Sound quality is also average...Hoping that OnePlus team sets it right in their next updates.... Battery is very bad it drains too quickly... Charges quickly but drains as quickly as it charges too...,12 May 2022
18,3.0,Battery drains very fast,"It is true that battery charging is very fast but, it drains very fast. I have been using Oneplus 6, Oneplus 9R and battery is one of the strengths of this mobile phone. It is too disappointing to see the battery performance 10R 5G. Is it a generic problem? I am considering to go back replace item with Oneplus9 by returning this.",11 May 2022
19,2.0,Not a OnePlus flagship phone for sure,This phone is a disappointment at this price. Just by seeing the phone can say this is not up to the mark.Had an issue with microphone. Dealing with Amazon representatives to return the phone has been very difficult job. Amazon can do better than this.Literally had to speak with 8 people to make then understand what's the issue.They way Amazon gives certificate when asked for return whether phone is good or defective with an app is rediculous.How come an application take care of all the real world scenarios..At last A guy named Sanjay understood the issue and helped me process the return.,14 May 2022
20,2.0,Felt being cheated to with the camera quality at 43000 Rs.,"Camera quality is poor, comparison can be from Redmi's 6-7 k Rs phone.Redmi's 15-18k phone gives very good camera experience but this one being my first OnePlus phone disappointed big time on camera.Battery charging speed is good.Not a good buy at ""42000 Rs"" 😢",15 May 2022
21,1.0,Lines are displayed sometimes on screen & power button is automatically pressed.,"I am facing issues from the 5th day of purchase, lines are displayed sometimes on screen & power button is automatically pressed.Need to visit service center for this issue.No pickup facility available at my location for servicing the mobile.",18 May 2022
22,4.0,Happy with the purchase,"Gud phoneSmooth displayNo heating issue observedGud battery backupDecent camera....as it still required further updatesOverall gud phone, i preferred this over 9rt as 9rt has alot heating issue nd quick battery drain issue....",16 May 2022
