,Clean_Tweets,Uncleand_Tweets
0,alien,I  m an alien
1,ray tracing cyberpunk hdr next level tried,Ray tracing on Cyberpunk with HDR is next-level . Have you tried it ?
2,great interview,Great interview !
3,doge underestimated,Doge is underestimated
4,congratulation tesla china amazing execution last year next even,Congratulations Tesla China for amazing execution last year . Now on to the next for even more ! !
5,happy new year ox,Happy New Year of the Ox ! https://t.co/9WFKMYu2oj
6,frodo underdoge thought would fail,"Frodo was the underdoge , All thought he would fail , Himself most of all . https://t.co/zGxJFDzzrM"
7,haha thanks,Haha thanks :)
8,indeed tweet definitely represent real world time allocation,Indeed ! Tweets definitely do not represent real-world time allocation .
9,entertaining outcome likely,The most entertaining outcome is the most likely
10,sent,Just sent some
11,agree clubhouse,Just agree to do Clubhouse with
12,,https://t.co/3rWE9uHSTS
13,getting real,It  s getting real
14,bought dogecoin lil x toddler hodler,"Bought some Dogecoin for lil X , so he can be a toddler hodler"
15,definitely issue sentencing seems bit high,"He definitely has issues , but the sentencing seems a bit high"
16,thanks fixing,Thanks for fixing
17,please unlock account,Please unlock my account
18,u f u f,<U+0001F923> <U+0001F923>
19,true power haha,This is true power haha https://t.co/Fc9uhQSd7O
20,crypto wallet give private key avoided cost,Any crypto wallet that won  t give you your private keys should be avoided at all costs
21,app suck,Your app sucks
22,rt nasa selected falcon heavy launch first two element lunar gateway together one mission,RT : NASA has selected Falcon Heavy to launch the first two elements of the lunar Gateway together on one mission ! https://t.co/3pWt
23,yes,Yes
24,predict cash flow reasonably well starlink ipo,"Once we can predict cash flow reasonably well , Starlink will IPO"
25,starlink staggeringly difficult technical economic endeavor however,"Starlink is a staggeringly difficult technical & economic endeavor . However , if we don https://t.co/9Z8Ac6skqx"
26,spacex need pas deep chasm negative cash flow next year,SpaceX needs to pass through a deep chasm of negative cash flow over the next year or https://t.co/7J1c92hdjl
27,lowest cost per ton carbon sequestered net value product made must scalable g,"Lowest cost per ton of carbon sequestered , net of value of any product made . Must be scalable to g https://t.co/XMyI7qWSgw"
28,meant price country difference tax shipping,It  s meant to be the same price in all countries . Only difference should be taxes & shipping .
29,intended earth may idea apply mar,"This is intended for Earth , but there may be some ideas that apply to Mars too"
30,u f u f,<U+0001F923> <U+0001F923>
31,xprize team manage carbon capture prize,XPrize team will manage the $ 100M carbon capture prize https://t.co/fSw5IanL0r
32,everyone tesla receives stock comp stock option take table missing,"Everyone at Tesla receives stock . My comp is all stock / options , which I do not take off the table . That  s what you  re missing ."
33,back work go,Back to work I go
34,seem bit high,Does seem a bit high
35,doge appears inflationary meaningfully fixed coin per unit time whereas,"Doge appears to be inflationary , but is not meaningfully so ( fixed # of coins per unit time ) , whereas https://t.co/4UH4rARC6T"
36,wow,Wow
37,orbital launch tower stack enough raptor orbit booster improve ship booster mass,1 . Orbital launch tower that can stack 2 . Enough Raptors for orbit booster 3 . Improve ship & booster mass
38,back work tonight,Back to work tonight !
39,ogecoin instructional video,Ð is for Ðogecoin ! Instructional video . https://t.co/UEEocOfcTb
40,people spoken,The people have spoken https://t.co/x41oVMzTGo
41,cute u f,So cute <U+0001F495>
42,extremely misleading image reflect true time cost people rain pain,"Extremely misleading image , as doesn  t reflect true time cost to people or rain & pain"
43,u f b let doge u f b,<U+0001F3B6> Who let the Doge out <U+0001F3B6>
44,hodl rainforest,Hodl the rainforests ! !
45,finally come,So it  s finally come to this https://t.co/Gf0Rg2QOaF
46,fun crypto,It  s the most fun crypto !
47,simplicity genius,Its simplicity is its genius
48,yup,Yup
49,u f u f,<U+0001F923> <U+0001F923>
50,true,True
51,u f u f,<U+0001F923> <U+0001F923>
52,easy two decade intense work look old note email text,"Not that easy . This is two decades of intense work . Have to look at old notes , emails , texts ."
53,yes,Yes
54,lesson learned,Lessons learned
55,earth mar,Of Earth and Mars
56,time tell story tesla spacex,Time to tell the story of Tesla & SpaceX
57,read great,Have you read ? It  s great ! !
58,second last kingdom,The Second Last Kingdom https://t.co/Je4EI88HmV
59,heard name year,Haven  t heard that name in years
60,dogecake,Dogecake
61,yolt,YOLT https://t.co/cnOf9yjpF1
62,damian,That  s Damian
63,yeah,Yeah
64,sure,Sure
65,great thing restaurant get hang stranger sjm,The great thing about restaurants is that you get to hang out with strangers ! - SJM
66,future currency earth,The future currency of Earth
67,scratch,Just a scratch
68,much wow,Much wow !
69,u f,<U+0001F5A4>
70,destiny,Destiny
71,franz essential,Franz was essential
72,said ship landing burn clear solution greate,"That said , the ship landing burn has a clear solution . My greate https://t.co/e5Wikiugkz"
